"CCA1"	"CCA2"
"MAGEE1"	0.298561727033616	0.0772177692468715
"MAGEE2"	0.20516689658681	-0.0182563761345734
"MAGI2"	0.240106632665111	0.0687786813448715
"MANEAL"	0.274830882310872	0.0702557806765634
"MAP1A"	0.332968089079566	0.00627780070224492
"MAP1B"	0.28068233096376	0.000348806540569033
"MAP2"	0.371590067910279	0.0214212042876261
"MAP6"	0.26855022718261	-0.0305602928331548
"MAP6D1"	0.255056525264296	0.0800604338075127
"MAP7D2"	0.347382635665136	0.0862143324695182
"MAPK8IP2"	0.296380674598539	0.0386005150121096
"MAST1"	0.317527073907788	0.063137698609508
"MBP"	0.315040363508298	0.0661783045943636
"MED12L"	0.20172978899806	0.0271275052427315
"MEGF10"	0.258407864135238	0.0521700239485826
"MGAT5B"	0.280042640145211	0.0712892972201232
"MIGA1"	0.217347213038426	0.00773225769378667
"MINAR2"	0.240832028571161	0.0150408086261522
"MLC1"	0.354257447694911	0.115948257140732
"MLIP"	0.204371415255621	0.0371963778884173
"MLLT11"	0.234070806516601	0.0756295309609451
"MOBP"	0.394842723063718	0.127894004125241
"MOG"	0.305686222060661	0.0905908483974094
"MPP3"	0.317776254787038	0.016244097020565
"MPPED1"	0.202499678012033	0.0823417086175069
"MT3"	0.359170377447151	0.122093098942387
"MTCL1"	0.207846002711237	-0.0736171107894232
"MTUS2"	0.21668487096859	-0.0072698369855752
"MYPOP"	0.214294091003556	0.0340304752844442
"MYT1"	0.259655835336284	0.0460046768654236
"MYT1L"	0.376071322309427	0.103080350349629
"NACAD"	0.222643216591053	0.0400678959766895
"NALCN"	0.326138133948326	0.0700063189951305
"NAP1L2"	0.277194591791347	0.112748457157567
"NAPB"	0.288896272408957	0.0818400659021607
"NAT8L"	0.300653125656569	0.0586018748803114
"NBEA"	0.211572192000517	-0.0468291235328246
"NCAM1"	0.322462138623254	0.0501413606846834
"NCAM2"	0.24854379830599	0.0541525460871776
"NCAN"	0.308662506863121	0.0902711048420319
"NCS1"	0.246784680425276	0.0329638777147587
"NDRG4"	0.387695480309974	0.0546390244541691
"NDST3"	0.225044724242237	0.0594389761048975
"NECAB1"	0.221223155191539	0.0375373191600528
"NECAB2"	0.211088982555568	0.0516546767378232
"NEFH"	0.405370585862062	0.125257822214228
"NEFL"	0.389435863506868	0.00675685067488224
"NEFM"	0.43863628872573	0.0983469656706274
"NELL2"	0.247513050938521	0.121528333507605
"NETO1"	0.226426816268384	0.0512375309497793
"NEURL1"	0.237547596526734	-0.0641534434737278
"NEUROD1"	0.286013857578328	0.0408623497930073
"NEUROD6"	0.234899304316566	0.0762386358288737
"NFASC"	0.319360224658479	0.0328998336886187
"NKX6-2"	0.231499015115686	0.0591065191257901
"NLGN1"	0.243039642290334	0.0515038350080194
"NLGN3"	0.302510368439734	0.033441438552231
"NMNAT2"	0.283559249378138	0.0130017763384287
"NOVA1"	0.303240499153122	0.0124786640318931
"NPTX1"	0.281924896199367	-0.0191448988071183
"NPTXR"	0.319748080577653	0.0584868070517224
"NRCAM"	0.359221509210423	0.0149139177068264
"NRG3"	0.207342107115868	0.0518564055026099
"NRGN"	0.256999685848807	0.0395038779003507
"NRIP3"	0.298236428005316	0.0758723083372038
"NRN1"	0.238738034128493	0.112771172405359
"NRSN1"	0.352905501803453	0.080562588594063
"NRSN2"	0.295362385875104	0.109714280513902
"NRXN1"	0.219561307696426	0.0489624151560268
"NRXN3"	0.328713693888831	0.10216474679224
"NSG1"	0.240026029957167	0.058752651184596
"NSG2"	0.282759742734346	0.0527389759325936
