"","MEpink","MEmidnightblue","MEpurple","MEcyan","MEgrey60","MElightgreen","MEdarkgrey","MEtan","MEdarkred","MEblue","MEdarkgreen","MElightyellow","MEblack","MEturquoise","MElightcyan","MEdarkturquoise","MEorange","MEgreen","MEroyalblue","MEgreenyellow","MEmagenta","MEred","MEyellow","MEbrown","MEsalmon"
"1151_F_kid_no",0.132500243168649,0.112251400013405,0.17899953299099,0.0679940720868119,-0.0520808043513709,0.095596798304981,-0.0354329839106589,-0.0012646931220675,-0.0589223320347384,-0.0375784742927925,-0.0607915251613883,0.0651693349459841,0.0606264366003882,-0.0364594580099057,0.027516495137171,-0.0259609383917616,0.0710139979357567,0.0278710748039346,-0.0528906191701796,-0.0209115404224164,-0.0506768074263468,-0.110530332619359,0.106962449518002,-0.0394356006973627,0.0146268220455034
"1152_F_gi_no",0.0587960811767753,0.00863126478405794,-0.0439983820143704,-0.111632059865347,-0.106147024461463,-0.0816946232967673,-0.0440844352505372,-0.141942054678305,0.147573154531405,0.152327503519535,0.0948271842463462,0.134696336785641,-0.100903306131136,-0.0573517264634301,0.0323174144756008,0.0659284291058004,-0.00183052827360726,0.066074535607169,0.0703011143378066,0.0244478368313496,0.0283079745123273,0.0513335497462054,-0.0604543168392161,-0.0595373502291385,-0.101572358729376
"1152_F_hyp_no",0.0310500667355869,0.0220442453826303,-0.038007199201803,0.0501356872896069,0.0912335896536011,0.111457214287916,0.14364999623531,0.100215968356634,0.017324802736034,-0.0484409824467704,-0.0809895140018933,-0.097373673874372,-0.0628578862340382,-0.0471594829111142,-0.134404169701293,-0.0814314034920121,-0.0518930411613473,0.0256292948642569,0.0931919252772488,-0.0671752517260979,-0.0659243751687765,-0.0654801986108752,-0.0336930051847313,0.0276570969912908,-0.052058568571613
"1152_F_kid_no",0.133668686785715,0.101701124693917,0.172725951320079,0.0606232305469221,-0.0517797522965364,0.0895720532760983,-0.0404616837360034,0.000811125580570252,-0.0596724784771101,-0.0406900866391167,-0.0672515479457289,0.0614960076365892,0.0640917699841384,-0.0377918962281937,0.0279232990707544,-0.0257538917863179,0.0633359561137818,0.0313452104099347,-0.0521544999168405,-0.00726742600403487,-0.0530651271562173,-0.118793484557681,0.102194675735479,-0.0417404858288254,0.0108122427750453
"1152_F_liv_no",-0.121995780933091,0.00987363270429726,-0.009242438547733,0.0840672956771667,0.0881987432044543,-0.0697969157158404,-0.0624957624609713,-0.00881266088674019,0.0110916689517647,-0.069452818394684,0.0255738333351722,-0.00186559402663817,0.106400900361767,0.153911185701641,0.0718946729234247,0.116002632954401,0.0896177633645403,-0.14549765892311,-0.117779549006837,-0.011462794765308,-0.0358467822105684,0.0760659103733859,-0.0814944337192235,-0.0679002676083905,0.0328955616824971
"1152_F_lu_no",-0.0354634887787143,-0.152489528326731,-0.0432486585273831,-0.0882706147190705,-0.0363632595087738,-0.0194544476505388,-0.00294594617083379,0.0544286613324056,-0.106015641677179,0.0104613713923929,-0.0365291744796661,-0.0611087258593719,0.0226333892770834,-0.0182344721383724,0.0326780978889647,-0.0740153143714439,-0.11589491233162,0.0621603720385095,0.0221435500095142,0.0920505557574878,0.158308338391681,0.0913113755793386,0.104087589129219,0.143372667800878,0.139401005009127
"1108_F_gi_yes",0.0300643784415874,-0.00530141693360656,-0.0428579528616253,-0.106362499603344,-0.0975058410603515,-0.0778347320113392,-0.0386593680672501,-0.118837107880227,0.0987409317817366,0.150292316308181,0.126932733018631,0.0965776980302969,-0.0983006225343279,-0.0576658474735668,0.0199017139844141,0.0352323987607658,0.00590240572404368,0.0600302169456606,0.0606804412859923,-0.0554841311304117,0.03420188209745,0.0401782275944448,-0.0449977598652006,-0.0447015482471182,-0.0875424599124752
"1108_F_hyp_yes",0.0137538314341854,-0.0027115339264148,-0.0498993935404199,0.0507803129022655,0.0920668873278127,0.104847607771291,0.153389611417289,0.105026463922919,0.00884398332259298,-0.0524005035922344,-0.119435832806114,-0.107657966011509,-0.0880174730000799,-0.0496585532153928,-0.152956318226667,-0.0883482419233855,-0.090381236793308,0.0298816908056325,0.0995573172094342,0.0509234594703541,-0.0781895982171231,-0.0820630315387501,-0.0450872817347027,0.0210030435123308,-0.0661848395327745
"1108_F_kid_yes",0.117091456416459,0.119169133354406,0.177498338002875,0.056745121955637,-0.0675508987899683,0.0831092233464601,-0.0504486577736833,-0.0254834430399514,-0.0637701794644401,-0.0449273247372979,-0.022631938807019,0.0636375191803335,0.0615647329950796,-0.0449878893062966,0.0257850505018802,-0.0290500642421707,0.105511882233665,0.0236701106593824,-0.0687938571216439,-0.108708432870241,-0.0671442512886951,-0.133992898939618,0.0920657936047804,-0.0572635063936129,-0.0114475706033417
"1108_F_liv_yes",-0.133035343134025,0.00557081815751459,-0.004759443774187,0.0757971706048633,0.064104464871538,-0.0763270242823022,-0.0716289316717196,-0.0265118871951587,-0.00341056557470192,-0.0712602904656824,0.0700224372972034,0.000741170581179582,0.100236564442523,0.139900432550196,0.0667475667921565,0.10737919009965,0.113747396857566,-0.14787638689519,-0.132147491446377,-0.092535382492976,-0.0480050566449303,0.0701116283971534,-0.0903418643104732,-0.0776048660312745,0.0045952867575977
