"","kMEblack","kMEgreen","kMEpurple","kMEgreenyellow","kMEmagenta","kMEtan","kMEblue","kMEred","kMEyellow","kMEpink","kMEbrown","kMEturquoise"
"ACADSB",-0.456864078771237,0.737506746952959,0.29510272972175,-0.116129001613911,-0.276741061758943,-0.467618475748493,0.369286194736645,0.559744005046333,0.537052487223761,-0.0530705378532512,0.0114393076331447,-0.208921512902107
"ACADVL",0.296204889172938,-0.0466570229082933,0.102069539028097,-0.0503001162439325,0.803700755422139,0.286901562763615,-0.209783718957421,-0.301869360771246,-0.409106118280817,0.881750611674233,0.151187146121002,0.212391798783894
"ACAP1",0.0349967041743003,0.120273808015782,-0.234948566416476,-0.305743394585229,-0.327186757877435,-0.516077060130887,0.479518276787506,0.511958082185177,0.417527912988332,0.0333799398462723,0.192916433588939,-0.0687190426351516
"ACAP2",0.104291173309302,0.553288860474341,0.801796143856568,0.613049590234951,0.453249652706322,0.447504472244668,-0.610666414972569,-0.256735828034928,-0.131461828986231,-0.0122853210860812,-0.586787302407078,-0.236264107540706
"ACAP3",0.108647802713916,-0.247834108011709,0.378756784199107,0.643848596766859,0.380181510020399,0.777138639135188,-0.809771329184351,-0.700520438141546,-0.539830632679433,-0.322467957462601,-0.453651859895765,-0.0980194496219996
"ACAT1",-0.238763780196952,-0.329867454144984,-0.581311175066419,-0.904313801621225,-0.199437052286405,-0.412568156056503,0.694790071419848,0.187260553772222,-0.0880489249575663,0.332057878956375,0.883017526471007,0.650851290484385
"ACAT2",-0.334100125580667,0.00495535776290457,-0.502140653905647,-0.773506299786897,-0.709656460109399,-0.778398094681875,0.890500069479595,0.642550754441673,0.454323682649781,-0.115304189014513,0.626854581240458,0.222072603134882
"ACBD3",0.226493968198159,-0.142190635071795,0.330892291814363,0.557157613243521,0.360524357573104,0.714833830261387,-0.69152211311422,-0.616025216395338,-0.448791247098229,-0.232844788435157,-0.417704122502807,-0.0618337380625014
"ACBD4",0.191210513871322,0.173082523208758,0.316590431235478,0.0285031948790818,0.585151301035323,0.251326031640198,-0.187764469067168,-0.220199143345515,-0.257660355468694,0.614945173089266,0.0818914884703342,0.151858327489679
"ACBD5",0.0503522122255818,0.32273577931824,0.14775284505671,0.317449208584093,0.242310457162879,0.00689781345695139,-0.157160330692638,0.15700218142344,0.235522230626254,0.082402274165505,-0.514329687740556,-0.36178324418958
"ACBD6",-0.026267618143058,-0.418825438717525,-0.552245121298116,-0.681310486024214,-0.0124497458621776,-0.194893771041009,0.409416997720705,-0.00858893367909777,-0.248037536435981,0.336467694544474,0.587517877720424,0.634867799258961
"ACCS",-0.456180666730415,-0.0668591578988022,-0.33150805371786,-0.509984852686002,-0.528121242083461,-0.467435755169917,0.545235320814883,0.346400917659745,0.233170038337884,-0.191772822558036,0.466639421535502,0.193743655291948
"ACE",-0.155905761276176,0.0405190713430477,-0.404307024601252,-0.217853801432532,-0.375530686846272,-0.56135368852667,0.495778883021065,0.560946865980642,0.552656371017776,-0.0340834726788466,0.0317184959882809,-0.272515914685285
"ACE2",-0.26510380874462,0.18149569137458,-0.465431338300205,-0.505994682148718,-0.782616905904865,-0.890458637781464,0.842211691104624,0.84121320980024,0.759824353004342,-0.186807963301579,0.231957718328763,-0.114750372241895
"ACER2",0.397111308136421,0.0666868923849244,0.641995646543436,0.839322648570474,0.604283616631708,0.824162854880254,-0.943882320555804,-0.667368390885946,-0.460226065234406,-0.106431578796127,-0.646811463027862,-0.226092468437629
"ACER3",-0.0235234245698949,-0.112345145422554,-0.111685033756125,-0.127504128392331,-0.200457707648847,-0.00411016805631059,0.0854047654763844,-0.0421549172992077,-0.0362723782477974,-0.245472514719485,0.0132740807128422,0.243558855365487
"ACHE",0.0294329315044318,-0.343343834319679,0.145372201487168,0.427318439576091,0.558593515878045,0.688110474391531,-0.653669908362697,-0.634839336600862,-0.551230170519939,0.0359489116199578,-0.24466344030716,-0.0267785054111279
